x, y, theta, stamp, 
-3.5001875176021713e-07, 4.102911645986751e-07, -4.053230527052153e-06, 1729713396391612149, 
-3.5001875176021713e-07, 4.102911645986751e-07, -4.0532332555829345e-06, 1729713396439408411, 
-3.5001875176021713e-07, 4.102911645986751e-07, -4.0532359841137155e-06, 1729713396489624468, 
2.9628081392729655e-05, -9.649807907408103e-06, -4.053238712644497e-06, 1729713396539616117, 
0.002423553727567196, -0.00021514209220185876, -0.01783299110527173, 1729713396599858514, 
0.006162967998534441, -0.0003566270461305976, -0.04460630987731909, 1729713396649777800, 
0.011751024052500725, -0.0005641344469040632, -0.07425308977601375, 1729713396699581618, 
0.01693820022046566, -0.001097657484933734, -0.10445364955585307, 1729713396739404040, 
0.024675121530890465, -0.002048830734565854, -0.15061367652532184, 1729713396790402774, 
0.03365405648946762, -0.003636971116065979, -0.202592763259783, 1729713396839402839, 
0.043614789843559265, -0.005826205015182495, -0.2663799079000275, 1729713396889498523, 
0.057156309485435486, -0.009486816823482513, -0.35282327197407143, 1729713396950596014, 
0.0695185586810112, -0.014781249687075615, -0.42840493585483236, 1729713396999897364, 
0.09349500387907028, -0.02782321162521839, -0.5925132757400363, 1729713397099448702, 
0.11255691200494766, -0.04274746775627136, -0.7384398816902846, 1729713397189405114, 
0.1312846541404724, -0.06224609538912773, -0.8960903535290464, 1729713397289495361, 
0.14532965421676636, -0.08273202925920486, -1.03478479946793, 1729713397379776078, 
0.16010965406894684, -0.11328578740358353, -1.2185984225104654, 1729713397499408944, 
0.16762803494930267, -0.13716179132461548, -1.3532497181622476, 1729713397590409854, 
0.1722102165222168, -0.1655072420835495, -1.4967709068901967, 1729713397688524275, 
0.17296254634857178, -0.19220246374607086, -1.6238311803751249, 1729713397780712136, 
0.16942371428012848, -0.2258678674697876, -1.7782142614108005, 1729713397898414578, 
0.1628933846950531, -0.2527369260787964, -1.8871058663785538, 1729713397989416451, 
0.15302026271820068, -0.2803960144519806, -1.9957196196156293, 1729713398087532663, 
0.14063815772533417, -0.3056114614009857, -2.0845493983974586, 1729713398180005521, 
0.12173864245414734, -0.3360505998134613, -2.186807683257104, 1729713398297415331, 
0.10518959909677505, -0.35807928442955017, -2.2575420221629976, 1729713398389416414, 
0.08591075241565704, -0.3797735273838043, -2.322742705728859, 1729713398486533784, 
0.062000811100006104, -0.40300220251083374, -2.3868604950920607, 1729713398599412032, 
0.04046466574072838, -0.42188760638237, -2.4330657465289445, 1729713398696423836, 
0.01865512505173683, -0.4394851326942444, -2.4716575922798794, 1729713398789418102, 
-0.00516731571406126, -0.45712196826934814, -2.5081240644382388, 1729713398890441524, 
-0.03289181739091873, -0.4762108325958252, -2.542046355779452, 1729713398999449422, 
-0.05731898173689842, -0.49179455637931824, -2.5686924576468346, 1729713399096421051, 
-0.08127371221780777, -0.5063484311103821, -2.590198522837533, 1729713399189438983, 
-0.10708289593458176, -0.5216842889785767, -2.6071467602695364, 1729713399290426828, 
-0.13638149201869965, -0.5385360717773438, -2.61986008865778, 1729713399400016998, 
-0.1616251915693283, -0.552757203578949, -2.6295013924953548, 1729713399495424313, 
-0.18663838505744934, -0.5663235783576965, -2.636939575290142, 1729713399589441828, 
-0.21334855258464813, -0.5808598399162292, -2.64522952147972, 1729713399689670719, 
-0.23782594501972198, -0.5941483378410339, -2.649003689762071, 1729713399779499074, 
-0.26978328824043274, -0.6112478971481323, -2.653316665151311, 1729713399900429562, 
-0.29422345757484436, -0.624292254447937, -2.655690210909509, 1729713399989429672, 
-0.3208175301551819, -0.6383374929428101, -2.656419915595604, 1729713400089480376, 
-0.35072240233421326, -0.6541580557823181, -2.6575334033064593, 1729713400199595123, 
-0.37753477692604065, -0.6683030724525452, -2.6575732816882103, 1729713400300449377, 
-0.40158766508102417, -0.6809386610984802, -2.6577858647746186, 1729713400389863736, 
-0.4283294677734375, -0.6948323845863342, -2.6579282719170445, 1729713400489539426, 
-0.45273756980895996, -0.707929253578186, -2.6579282719170445, 1729713400579601890, 
-0.48524633049964905, -0.7251715660095215, -2.6580464299500735, 1729713400700886349, 
-0.509314775466919, -0.7378247380256653, -2.657776653413459, 1729713400789794795, 
-0.5364441871643066, -0.7521913647651672, -2.657776653413459, 1729713400889868616, 
-0.5607279539108276, -0.7651377320289612, -2.657776653413459, 1729713400982101871, 
-0.5935125946998596, -0.7823905944824219, -2.655934129136262, 1729713401099771901, 
-0.6177405714988708, -0.7953163385391235, -2.656033372939285, 1729713401189543313, 
-0.6449644565582275, -0.8095871806144714, -2.656272099275858, 1729713401289467759, 
-0.6693722605705261, -0.8225067853927612, -2.6557242451686998, 1729713401380654906, 
-0.7015706300735474, -0.8395108580589294, -2.654289526227901, 1729713401500539612, 
-0.7261433005332947, -0.8523961305618286, -2.653977311057456, 1729713401589442311, 
-0.753041684627533, -0.8670358061790466, -2.654754784349754, 1729713401689607277, 
-0.7779046297073364, -0.8806893825531006, -2.6526436677768808, 1729713401779578461, 
-0.8098433613777161, -0.8986401557922363, -2.6525462393833634, 1729713401900439369, 
-0.8340756893157959, -0.9118101000785828, -2.6528951876320814, 1729713401989436677, 
-0.8607203960418701, -0.9265966415405273, -2.651874969389663, 1729713402089906675, 
-0.884766161441803, -0.9396151900291443, -2.6507859613026334, 1729713402179736323, 
-0.9169722199440002, -0.9568412899971008, -2.6492268666481538, 1729713402300466381, 
-0.9407055974006653, -0.9697644114494324, -2.6502227334939272, 1729713402390217872, 
-0.9663572907447815, -0.9835332036018372, -2.6516764122038206, 1729713402489549221, 
-0.985202431678772, -0.9936630725860596, -2.6494145260810202, 1729713402579202924, 
-1.006625771522522, -1.0053212642669678, -2.6513788987700644, 1729713402699448819, 
